"Experimental details: 5way1shot learning problems, with 32 tasks per task batch"
epoch,train_c_loss,train_c_accuracy,val_loss,val_accuracy,test_c_loss,test_c_accuracy,learning_rate
0,1.5445495754480363,0.3121875,|,1.6010234627723694,0.26925,|,0.001
1,1.499713549375534,0.34771875,|,1.5617561650276184,0.3005,|,0.0009000009000009
2,1.4878948799371718,0.36425,|,1.541407859325409,0.31575,|,0.0008100016200024299
3,1.4694296985864639,0.383125,|,1.5346404581069946,0.3255,|,0.0008100016200024299
4,1.4319936710596084,0.417125,|,1.4182707328796387,0.413875,|,0.0007290021870043739
5,1.3397139768600463,0.47459375,|,1.398400444984436,0.419375,|,0.0006561026244065608
6,1.2927515919208528,0.504125,|,1.3127874517440796,0.465,|,0.0006561026244065608
7,1.2591973766088487,0.521875,|,1.3165641841888427,0.4665,|,0.0005904929524588572
8,1.230527029633522,0.53996875,|,1.2442341322898864,0.517375,|,0.0005314441886571602
9,1.2000443918704986,0.5525,|,1.2156013498306275,0.521875,|,0.0005314441886571602
10,1.1692824005484581,0.57296875,|,1.1878551177978516,0.533375,|,0.00047830024809169223
11,1.1498141718506814,0.58465625,|,1.2198719878196715,0.5195,|,0.0004304706537531768
12,1.1299580749869347,0.5935625,|,1.1591106853485107,0.554875,|,0.0004304706537531768
13,1.117333487033844,0.608,|,1.2265379204750062,0.51425,|,0.00038742397580183486
14,1.1051008509397506,0.61390625,|,1.1441001234054566,0.58,|,0.00034868192690357824
15,1.0985774109959603,0.6211875,|,1.1319306268692018,0.57875,|,0.00034868192690357824
16,1.0924408220648765,0.6229375,|,1.1046866605281829,0.59675,|,0.00031381404802726846
17,1.0873432452082634,0.62784375,|,1.1410838220119477,0.566875,|,0.00028243292565746723
18,1.0818726527094842,0.62896875,|,1.114662103652954,0.59175,|,0.00028243292565746723
19,1.0768992357254028,0.628375,|,1.0985932338237763,0.601,|,0.00025418988728160777
20,1.0735189628005029,0.63665625,|,1.0863552334308624,0.6125,|,0.00022877112732457431
21,1.0662873446941377,0.63971875,|,1.0946032395362855,0.601375,|,0.00022877112732457431
22,1.0663728016018867,0.64096875,|,1.0941046109199524,0.610125,|,0.00020589422048633736
23,1.0613981426954269,0.64653125,|,1.0779522473812104,0.613125,|,0.00018530498374268737
24,1.0587388240098954,0.64903125,|,1.080456080675125,0.624375,|,0.00018530498374268737
25,1.05669124430418,0.6449375,|,1.0736862227916717,0.617,|,0.00016677465214307076
26,1.0569503492712975,0.647625,|,1.0762848591804504,0.616375,|,0.0001500973370261007
27,1.0533107498288155,0.6515625,|,1.0822871241569518,0.617375,|,0.0001500973370261007
28,1.0466531674861907,0.66365625,|,1.0705348944664002,0.634625,|,0.00013508773841122904
29,1.0487820727825166,0.6585,|,1.0733948266506195,0.625,|,0.00012157908614919228
30,1.046616067171097,0.65921875,|,1.0532318587303162,0.636125,|,0.00012157908614919228
31,1.0443749601244927,0.6676875,|,1.0608603971004487,0.642375,|,0.00010942128695556
32,1.0404647966623306,0.67728125,|,1.0522499492168427,0.64425,|,9.847925673926074e-05
33,1.0376997192502022,0.67825,|,1.0515476005077362,0.658,|,9.847925673926074e-05
34,1.034475837826729,0.6885625,|,1.0506402542591096,0.666625,|,8.863141969675436e-05
35,1.031707742869854,0.693875,|,1.0642974443435669,0.6545,|,7.976835749543641e-05
36,1.030346744298935,0.69478125,|,1.058531328678131,0.6655,|,7.976835749543641e-05
37,1.0260019425749778,0.702375,|,1.0416859436035155,0.685,|,7.179159353748631e-05
38,1.0228070938587188,0.7036875,|,1.0462041351795197,0.673125,|,6.461249879623648e-05
39,1.0191641378998757,0.7050625,|,1.0447719173431396,0.673,|,6.461249879623648e-05
40,1.0178477314114571,0.70365625,|,1.0245844991207123,0.683875,|,5.815130706791989e-05
41,1.0164055927991866,0.705,|,1.029972083568573,0.6855,|,5.23362286973566e-05
42,1.012796747148037,0.70909375,|,1.0342148439884187,0.666875,|,5.23362286973566e-05
43,1.008345476925373,0.70934375,|,1.022366582632065,0.689875,|,4.710265293027387e-05
44,1.0077247146368027,0.70825,|,1.0165497152805327,0.69025,|,4.239243002967651e-05
45,1.0067220974564552,0.70778125,|,1.0156841025352479,0.6865,|,4.239243002967651e-05
46,1.0070675688385964,0.71015625,|,1.0142420885562897,0.691125,|,3.815322517993404e-05
47,1.0025808094143867,0.7103125,|,1.0182862040996552,0.681125,|,3.433793699987763e-05
48,1.0052349282503128,0.70984375,|,1.0130113682746886,0.6835,|,3.433793699987763e-05
49,1.0029132783412933,0.71040625,|,1.0123639512062073,0.68875,|,3.090417420406407e-05
50,1.0010166531801223,0.71109375,|,1.0098220613002777,0.686625,|,2.781378459744226e-05
51,0.9993769236207009,0.71059375,|,1.005019094467163,0.687,|,2.781378459744226e-05
52,1.0007721087932586,0.71078125,|,1.0091100773811341,0.688,|,2.5032431170129203e-05
53,0.9988831198215484,0.708125,|,1.0127237865924834,0.6845,|,2.2529210582326862e-05
54,0.9997893477082253,0.71103125,|,1.0044245841503143,0.697375,|,2.2529210582326862e-05
55,0.9977093946933746,0.7103125,|,1.000846139907837,0.70125,|,2.0276309800403976e-05
56,0.997953902065754,0.711125,|,1.0006545417308808,0.688125,|,1.8248697069060645e-05
57,0.9922989777326584,0.71821875,|,1.0011090092658996,0.70225,|,1.8248697069060645e-05
58,0.9931831551194191,0.71359375,|,1.0033869709968566,0.689125,|,1.6423843785998366e-05
59,0.9931818928718567,0.70953125,|,0.9995859611034393,0.695875,|,1.4781474188872717e-05
60,0.9922252687811851,0.7169375,|,1.002436219930649,0.6925,|,1.4781474188872717e-05
61,0.9935459222197532,0.71471875,|,1.0084782528877259,0.680125,|,1.330334007332552e-05
62,0.9918156101107597,0.711,|,1.0031493334770203,0.689125,|,1.1973018039011007e-05
63,0.9899841905832291,0.71525,|,1.002759815454483,0.6805,|,1.1973018039011007e-05
64,0.9894641071557999,0.714875,|,1.000965327501297,0.6925,|,1.0775727010836917e-05
65,0.9936699901223183,0.7075625,|,0.9981847593784332,0.698625,|,9.698164007917233e-06
66,0.9910290696024895,0.7119375,|,0.9972658684253692,0.696375,|,9.698164007917233e-06
67,0.9891880717277527,0.71775,|,0.9938144853115082,0.704125,|,8.728356335481845e-06
68,0.9911971803307533,0.71196875,|,1.0007078433036805,0.692125,|,7.855528557462218e-06
69,0.9905816400051117,0.71440625,|,1.0013626449108124,0.686625,|,7.855528557462218e-06
70,0.9880280638337136,0.71584375,|,0.994016453742981,0.69525,|,7.069982771698768e-06
71,0.989318107008934,0.7125625,|,1.0014776418209075,0.694375,|,6.362990857519748e-06
72,0.9872357841134072,0.718625,|,0.9965774624347686,0.691625,|,6.362990857519748e-06
73,0.9891435065865517,0.713125,|,0.9994966144561768,0.695375,|,5.7266974984652716e-06
74,0.9885274119973183,0.71678125,|,0.9981614172458648,0.687375,|,5.154032902651647e-06
75,0.9867126668095588,0.715625,|,0.9958910403251648,0.69275,|,5.154032902651647e-06
76,0.9856268544197082,0.72075,|,0.9973285841941834,0.69,|,4.6386342510207334e-06
77,0.9872510530948639,0.71375,|,0.9979269418716431,0.697875,|,4.174775000693661e-06
78,0.9895659605264664,0.7139375,|,0.9974048404693604,0.690375,|,4.174775000693661e-06
79,0.9855795170068741,0.71915625,|,0.9935031626224518,0.70175,|,3.7573012579255527e-06
80,0.9865176743268966,0.71346875,|,0.9988768138885498,0.6955,|,3.381574513707511e-06
81,0.9880614857673645,0.7208125,|,0.9980690622329712,0.694375,|,3.381574513707511e-06
82,0.9851745100021362,0.71790625,|,0.99214475440979,0.6935,|,3.043420105756866e-06
83,0.9869118260741234,0.7123125,|,0.9976359667778015,0.695375,|,2.7390808342620134e-06
84,0.9872344358563423,0.71909375,|,0.9979701068401337,0.6895,|,2.7390808342620134e-06
85,0.9872423234581947,0.71571875,|,0.9959442427158356,0.693375,|,2.465175216011028e-06
86,0.9880361961722374,0.71590625,|,0.9932924673557282,0.699375,|,2.218659913069838e-06
87,0.9883375192284584,0.7120625,|,0.9934261329174042,0.696125,|,2.218659913069838e-06
88,0.9849764352440834,0.720625,|,0.9994953334331512,0.6905,|,1.9967959185587727e-06
89,0.9871260563731193,0.71659375,|,0.9954492030143738,0.6935,|,1.7971181238210192e-06
90,0.9861876389980316,0.71521875,|,0.9964611933231354,0.691,|,1.7971181238210192e-06
91,0.9883370707035065,0.7141875,|,0.994308352470398,0.6925,|,1.617407928846846e-06
92,0.986999629676342,0.71459375,|,0.9947234945297241,0.69625,|,1.455668591630753e-06
93,0.9856248727440834,0.7175,|,0.9960993909835816,0.692125,|,1.455668591630753e-06
94,0.9876667613387108,0.7176875,|,0.99408451628685,0.698125,|,1.3101030425707202e-06
95,0.9872552558779717,0.71153125,|,0.9936875529289245,0.69525,|,1.1790939174075655e-06
96,0.987247347176075,0.71546875,|,0.996220009803772,0.6965,|,1.1790939174075655e-06
97,0.9833368999958039,0.7183125,|,0.9924579939842224,0.6945,|,1.0611855868523958e-06
98,0.9866373932361603,0.7138125,|,0.9953383429050445,0.69075,|,1e-06
99,0.9864456036686897,0.71671875,|,0.9935038115978241,0.7015,|,1e-06
100,0.9882224181890488,0.71353125,|,0.9983947892189026,0.683375,|,1e-06
101,0.9864632025957107,0.71496875,|,0.9914444577693939,0.700125,|,1e-06
102,0.9879327654838562,0.710875,|,0.9993712475299835,0.690875,|,1e-06
103,0.9857791796326637,0.7131875,|,0.9947507474422455,0.697,|,1e-06
104,0.9856277720332146,0.7165,|,1.0001007421016692,0.695,|,1e-06
105,0.9851196827888489,0.71503125,|,0.9916622264385223,0.697875,|,1e-06
106,0.9857503755688667,0.7165625,|,0.9915952196121216,0.701,|,1e-06
107,0.986286814570427,0.71284375,|,0.9990080921649933,0.691875,|,1e-06
108,0.987551983654499,0.71275,|,0.9939578359127045,0.694875,|,1e-06
109,0.9852879179120064,0.71671875,|,0.9969532618522644,0.692625,|,1e-06
110,0.985292276442051,0.71384375,|,0.994267863035202,0.697875,|,1e-06
111,0.9869120596051216,0.712625,|,0.9962990345954895,0.694875,|,1e-06

