epoch,train_c_loss,train_c_accuracy,val_loss,val_accuracy,test_c_loss,test_c_accuracy,learning_rate
0,1.4794143481254578,0.37790477108210324,|,1.530621942838033,0.33092064311107,|,0.001
1,1.4384986971616744,0.42523810613900426,|,1.4905219535827636,0.35187302374839785,|,0.0009000009000009
2,1.417018749833107,0.4417619166933,|,1.5266384665171306,0.33676191267371175,|,0.0008100016200024299
3,1.3848891097307205,0.47709525138139725,|,1.3964020309448242,0.4518095357815425,|,0.0008100016200024299
4,1.3117292701005936,0.528571444362402,|,1.3239590708414715,0.48292064932982126,|,0.0007290021870043739
5,1.2527057031393052,0.5641428754627704,|,1.266130963007609,0.5146666829983393,|,0.0006561026244065608
6,1.2135665994882583,0.5775238274335861,|,1.253574998219808,0.5334603346983592,|,0.0006561026244065608
7,1.1812826035618782,0.59247620908916,|,1.3123717575073242,0.5172063652276992,|,0.0005904929524588572
8,1.151051842212677,0.6182381139993668,|,1.1657802772521972,0.596571447134018,|,0.0005314441886571602
9,1.1286021245718003,0.6296666859090329,|,1.1871331020991007,0.5659682716925939,|,0.0005314441886571602
10,1.113659391105175,0.6359047807753087,|,1.1205877335866292,0.6162539876302083,|,0.00047830024809169223
11,1.1008097408413886,0.6494285898804665,|,1.1486652447382608,0.6073650981585185,|,0.0004304706537531768
12,1.0894447775483131,0.652619065463543,|,1.154638181845347,0.5969523995717366,|,0.0004304706537531768
13,1.0815625839233398,0.6638571609407663,|,1.1705582456588746,0.5756190656820933,|,0.00038742397580183486
14,1.074609143614769,0.6700952562093735,|,1.0941525882085164,0.6238730347156525,|,0.00034868192690357824
15,1.066640758395195,0.6724285894930363,|,1.1052334322929382,0.6195555752913157,|,0.00034868192690357824
16,1.062277755498886,0.6824285891056061,|,1.0794332574208578,0.632253986954689,|,0.00031381404802726846
17,1.0589765034914016,0.6804285894036293,|,1.091760593255361,0.6353016054630279,|,0.00028243292565746723
18,1.0523238880634307,0.6819523987472057,|,1.0990214296976726,0.625142876068751,|,0.00028243292565746723
19,1.0519083257913588,0.6870000175833703,|,1.138675019423167,0.6110476386547089,|,0.00025418988728160777
20,1.0473543484807015,0.6958095411062241,|,1.0929494552612304,0.642158748070399,|,0.00022877112732457431
21,1.0414988352060317,0.6935714460015296,|,1.0498243436813355,0.6681904942194621,|,0.00022877112732457431
22,1.0405406198501588,0.6981428744494915,|,1.1237690176963806,0.6038095417022705,|,0.00020589422048633736
23,1.0361715241074563,0.701761921852827,|,1.0494243599573772,0.6741587481498719,|,0.00018530498374268737
